Rule_ID,Source,Rule_Type,Primary_Zone,Secondary_Zone,Transition_Allowed,Buffer_Required,Severity,Reason,Action_On_Violation,Explainability_Template
ZONE_001,AERB,Radiation_Control,Public_Zone,Controlled_Radiation_Zone,No,Yes,Hard_Fail,Public access to radiation-controlled zones is prohibited,Reject_Layout,Public zone directly connects to radiation-controlled zone without buffer.
ZONE_002,AERB,Radiation_Control,Controlled_Radiation_Zone,Restricted_Radiation_Zone,Yes,No,Hard_Fail,Restricted zones may only be accessed from controlled zones,Reject_Layout,Invalid radiation zone transition detected.
ZONE_003,AERB,Radiation_Control,Restricted_Radiation_Zone,Public_Zone,No,Yes,Hard_Fail,Restricted radiation areas cannot open directly to public zones,Reject_Layout,Restricted radiation zone opens directly to public area.
ZONE_004,AERB,MRI_Zoning,MRI_Zone_I,MRI_Zone_II,Yes,No,Hard_Fail,MRI safety zoning requires sequential access,Reject_Layout,MRI Zone I to II transition missing or invalid.
ZONE_005,AERB,MRI_Zoning,MRI_Zone_II,MRI_Zone_III,Yes,Yes,Hard_Fail,Controlled screening required before MRI Zone III,Reject_Layout,MRI Zone II connects to Zone III without screening buffer.
ZONE_006,AERB,MRI_Zoning,MRI_Zone_III,MRI_Zone_IV,Yes,No,Hard_Fail,Only authorized screened access allowed to magnet room,Reject_Layout,Invalid MRI Zone III to IV transition.
ZONE_007,AERB,MRI_Zoning,MRI_Zone_IV,Any_Other_Zone,No,Yes,Hard_Fail,MRI magnet room must be fully isolated,Reject_Layout,MRI magnet room connected to unauthorized zone.
ZONE_008,NABH,Infection_Control,Clean_Zone,Dirty_Zone,No,Yes,Hard_Fail,Clean and dirty zones must be strictly segregated,Reject_Layout,Clean zone directly connected to dirty zone.
ZONE_009,NABH,Infection_Control,Patient_Zone,Dirty_Zone,No,Yes,Hard_Fail,Patient circulation cannot cross dirty utility areas,Reject_Layout,Patient zone connected to dirty utility.
ZONE_010,NABH,Infection_Control,Staff_Only_Zone,Patient_Zone,Yes,Optional,Warning,Shared circulation should be minimized,Suggest_Optimization,Staff-only zone directly connects to patient zone.
ZONE_011,NBC,Life_Safety,Fire_Exit_Zone,Restricted_Zone,Yes,No,Hard_Fail,Fire exits must remain accessible from restricted areas,Reject_Layout,Restricted zone blocks fire exit access.
ZONE_012,NBC,Life_Safety,Fire_Exit_Zone,Public_Zone,Yes,No,Hard_Fail,Fire exits must discharge into public-safe zones,Reject_Layout,Fire exit does not discharge into public-safe zone.
ZONE_013,NBC,Life_Safety,Fire_Exit_Zone,Clean_Zone,Conflict,No,Critical,Fire exits may conflict with clean zoning requirements,Flag_Conflict,Fire exit routed through clean zone – NBC vs NABH conflict.
ZONE_014,Functional,Operational_Flow,Patient_Zone,Waiting_Zone,Yes,No,Hard_Fail,Waiting areas must precede patient diagnostic zones,Reject_Layout,Patient zone bypasses waiting zone.
ZONE_015,Functional,Operational_Flow,Reporting_Zone,Imaging_Zone,Yes,No,Warning,Close zoning improves reporting efficiency,Suggest_Optimization,Reporting zone not optimally placed near imaging zone.
ZONE_016,Functional,Operational_Flow,Equipment_Zone,Imaging_Zone,Yes,No,Warning,Equipment support zones should be near imaging rooms,Suggest_Optimization,Equipment zone too far from imaging zone.

